Product Name,Product ID,Price per kg,Price per unit,Brand,Category,Image URL,Minimum Quantity,Product Link,cgid,tracking_date,source
Gelado Romântica,7141073,4.79,"€6,39/lt",Carte DOr,Congelados/Gelados/Tartes Geladas e Viennettas,https://www.continente.pt/dw/image/v2/BDVS_PRD/on/demandware.static/-/Sites-col-master-catalog/default/dwa495ca32/images/col/714/7141073-hero.jpg?sw=280&sh=280,emb. 750 ml,https://www.continente.pt/produto/gelado-romantica-carte-dor-7141073.html,congelados,2024-11-15,Continente
Postas Médias de Bacalhau MSC Demolhado Ultracongelado,7291115,4.59,"€7,65/kg",Continente,Frescos/Peixaria/Bacalhau/Congelado,https://www.continente.pt/dw/image/v2/BDVS_PRD/on/demandware.static/-/Sites-col-master-catalog/default/dw06886228/images/col/729/7291115-frente.jpg?sw=280&sh=280,emb. 600 gr,https://www.continente.pt/produto/postas-medias-de-bacalhau-msc-demolhado-ultracongelado-continente-7291115.html,congelados,2024-11-15,Continente
Peskitos de Pescada sem Glúten,7929409,7.49,"€7,49/kg",Pescanova,Congelados/Nuggets e Crocantes,https://www.continente.pt/dw/image/v2/BDVS_PRD/on/demandware.static/-/Sites-col-master-catalog/default/dwb835beeb/images/col/792/7929409-frente.jpg?sw=280&sh=280,emb. 1 kg,https://www.continente.pt/produto/peskitos-de-pescada-sem-gluten-pescanova-7929409.html,congelados,2024-11-15,Continente
Gelado Café,8025801,7.79,"€16,93/lt",Häagen-Dazs,Congelados/Gelados/Gelados Americanos,https://www.continente.pt/dw/image/v2/BDVS_PRD/on/demandware.static/-/Sites-col-master-catalog/default/dw387cf29a/images/col/802/8025801-frente.jpg?sw=280&sh=280,emb. 460 ml,https://www.continente.pt/produto/gelado-cafe-haagen-dazs-8025801.html,congelados,2024-11-15,Continente
Crocantes de Frango Recheados Queijo e Fiambre,8069372,10.41,"€17,01/kg",Iglo,Congelados/Nuggets e Crocantes,https://www.continente.pt/dw/image/v2/BDVS_PRD/on/demandware.static/-/Sites-col-master-catalog/default/dw79407af4/images/col/806/8069372-frente.png?sw=280&sh=280,emb. 3 x 204 gr (2 un),https://www.continente.pt/produto/crocantes-de-frango-recheados-queijo-e-fiambre-iglo-8069372.html,congelados,2024-11-15,Continente
Rabos de Pescada MSC Ultracongelada Pack Poupança,7384638,5.99,"€3,99/kg",Continente,Frescos/Peixaria/Peixe Congelado,https://www.continente.pt/dw/image/v2/BDVS_PRD/on/demandware.static/-/Sites-col-master-catalog/default/dw85359a91/images/col/738/7384638-frente.jpg?sw=280&sh=280,"emb. 1,5 kg",https://www.continente.pt/produto/rabos-de-pescada-msc-ultracongelada-pack-poupanca-continente-7384638.html,congelados,2024-11-15,Continente
Gelado Baunilha,6949002,2.59,"€2,59/lt",Continente,Congelados/Gelados/Gelados Familiares,https://www.continente.pt/dw/image/v2/BDVS_PRD/on/demandware.static/-/Sites-col-master-catalog/default/dw1ab4706e/images/col/694/6949002-hero.jpg?sw=280&sh=280,emb. 1 lt,https://www.continente.pt/produto/gelado-baunilha-continente-6949002.html,congelados,2024-11-15,Continente
Gelado de Caramelo e Biscoito,7224301,5.49,"€26,91/kg",Twix,Congelados/Gelados/Mini Bites e Sandwich,https://www.continente.pt/dw/image/v2/BDVS_PRD/on/demandware.static/-/Sites-col-master-catalog/default/dw732a2575/images/col/722/7224301-frente.jpg?sw=280&sh=280,emb. 204 gr (6 un),https://www.continente.pt/produto/gelado-de-caramelo-e-biscoito-twix-7224301.html,congelados,2024-11-15,Continente
Douradinhos de Peixe sem Glúten,7475461,7.14,"€19,83/kg",Capitão Iglo,Congelados/Douradinhos e Filetes,https://www.continente.pt/dw/image/v2/BDVS_PRD/on/demandware.static/-/Sites-col-master-catalog/default/dw4daefd3d/images/col/747/7475461-direito.jpg?sw=280&sh=280,emb. 360 gr (12 un),https://www.continente.pt/produto/douradinhos-de-peixe-sem-gluten-capitao-iglo-7475461.html,congelados,2024-11-15,Continente
Douradinhos Vegan,7529442,5.34,"€15,89/kg",Iglo Green Cuisine,Congelados/Vegetariano e Vegan/Nuggets e Panados,https://www.continente.pt/dw/image/v2/BDVS_PRD/on/demandware.static/-/Sites-col-master-catalog/default/dwd938280c/images/col/752/7529442-frente.jpg?sw=280&sh=280,emb. 336 gr (12 un),https://www.continente.pt/produto/douradinhos-vegan-iglo-green-cuisine-7529442.html,congelados,2024-11-15,Continente
