Product Name,Product ID,Price per kg,Price per unit,Brand,Category,Image URL,Minimum Quantity,Product Link,cgid,tracking_date,source
Estante 3 Gavetas 53x30x60 Frozen,7734156,25.99,"€25,99/un",Disney Frozen,Bebé/Quarto de Bebé/Mobiliário,https://www.continente.pt/dw/image/v2/BDVS_PRD/on/demandware.static/-/Sites-col-master-catalog/default/dw6ebc126d/images/col/773/7734156-frente.jpg?sw=280&sh=280,1 un,https://www.continente.pt/produto/estante-3-gavetas-53x30x60-frozen-disney-frozen-7734156.html,bebe,2024-11-11,Continente
Espreguiçadeira Dobrável Dragon Ball,7734134,29.99,"€29,99/un",Dragon Ball,Bebé/Quarto de Bebé/Mobiliário,https://www.continente.pt/dw/image/v2/BDVS_PRD/on/demandware.static/-/Sites-col-master-catalog/default/dw8faa4bea/images/col/773/7734134-frente.jpg?sw=280&sh=280,1 un,https://www.continente.pt/produto/espreguicadeira-dobravel-dragon-ball-dragon-ball-7734134.html,bebe,2024-11-11,Continente
Colchão Molas 110x62cm,7416429,59.99,"€59,99/un",Lorelli,"Bebé/Quarto de Bebé/Camas, Berços e Colchões",https://www.continente.pt/dw/image/v2/BDVS_PRD/on/demandware.static/-/Sites-col-master-catalog/default/dw79a295f8/images/col/741/7416429-esquerdo.jpg?sw=280&sh=280,1 un,https://www.continente.pt/produto/colchao-molas-110x62cm-lorelli-7416429.html,bebe,2024-11-11,Continente
"Banco e Baú Arrumação Madeira 62,5x40x37cm Spider Man",7594155,74.99,"€74,99/un",Spider-Man,Bebé/Quarto de Bebé/Mobiliário,https://www.continente.pt/dw/image/v2/BDVS_PRD/on/demandware.static/-/Sites-col-master-catalog/default/dw6e261b78/images/col/759/7594155-esquerdo.jpg?sw=280&sh=280,1 un,https://www.continente.pt/produto/banco-e-bau-arrumacao-madeira-625x40x37cm-spider-man-spider-man-7594155.html,bebe,2024-11-11,Continente
Conjunto Exterior Mesa e 2 Cadeiras Minnie,7594606,79.99,"€79,99/un",Disney Minnie,Bebé/Quarto de Bebé/Mobiliário,https://www.continente.pt/dw/image/v2/BDVS_PRD/on/demandware.static/-/Sites-col-master-catalog/default/dwf0fd5703/images/col/759/7594606-frente.jpg?sw=280&sh=280,1 un,https://www.continente.pt/produto/conjunto-exterior-mesa-e-2-cadeiras-minnie-disney-minnie-7594606.html,bebe,2024-11-11,Continente
"Banco, Mesa e Baú Madeira - 3 em 1 Mickey",7594597,74.99,"€74,99/un",Disney Mickey,Bebé/Quarto de Bebé/Mobiliário,https://www.continente.pt/dw/image/v2/BDVS_PRD/on/demandware.static/-/Sites-col-master-catalog/default/dwd7f54d59/images/col/759/7594597-frente.jpg?sw=280&sh=280,1 un,https://www.continente.pt/produto/banco-mesa-e-bau-madeira---3-em-1-mickey-disney-mickey-7594597.html,bebe,2024-11-11,Continente
"Infantil Farinha Láctea Aveia, Maçã, Abóbora e Cenoura +6M",7372077,2.99,"€11,96/kg",Continente do Bebé,Mercearia/Alimentação Infantil/Papas Infantis,https://www.continente.pt/dw/image/v2/BDVS_PRD/on/demandware.static/-/Sites-col-master-catalog/default/dw227b994b/images/col/737/7372077-frente.jpg?sw=280&sh=280,emb. 250 gr,https://www.continente.pt/produto/infantil-farinha-lactea-aveia-maca-abobora-e-cenoura-6m-continente-do-bebe-7372077.html,bebe,2024-11-11,Continente
Fraldas Comfort 7-11kg T4,8023209,33.13,"€0,22/un",Libero,Bebé/Fraldas e Toalhitas/Fraldas 4-11kg/9-15kg (T3 e T4),https://www.continente.pt/dw/image/v2/BDVS_PRD/on/demandware.static/-/Sites-col-master-catalog/default/dw505255f7/images/col/802/8023209-hero.png?sw=280&sh=280,emb. 3 x 50 un,https://www.continente.pt/produto/fraldas-comfort-7-11kg-t4-libero-8023209.html,bebe,2024-11-11,Continente
"Saqueta de Fruta Maçã, Pêssego e Abóbora +6M",7714046,0.98,"€11,53/kg",Blédina,"Mercearia/Alimentação Infantil/Boiões, Saquetas e Puré de Fruta",https://www.continente.pt/dw/image/v2/BDVS_PRD/on/demandware.static/-/Sites-col-master-catalog/default/dw3e98eb04/images/col/771/7714046-frente.jpg?sw=280&sh=280,emb. 85 gr,https://www.continente.pt/produto/saqueta-de-fruta-maca-pessego-e-abobora-6m-bledina-7714046.html,bebe,2024-11-11,Continente
Fraldas Newborn 3-6kg T2,7853421,13.94,"€0,22/un",Libero,"Bebé/Fraldas e Toalhitas/Fraldas <2kg/2-5kg/3-6kg (T0, T1 e T2)",https://www.continente.pt/dw/image/v2/BDVS_PRD/on/demandware.static/-/Sites-col-master-catalog/default/dwed9a4247/images/col/785/7853421-hero.jpg?sw=280&sh=280,emb. 64 un,https://www.continente.pt/produto/fraldas-newborn-3-6kg-t2-libero-7853421.html,bebe,2024-11-11,Continente
Fraldas Proteção 17-28kg T6,7072339,5.69,"€0,19/un",Continente do Bebé,Bebé/Fraldas e Toalhitas/Fraldas 13-18kg/+18kg (T5 e T6),https://www.continente.pt/dw/image/v2/BDVS_PRD/on/demandware.static/-/Sites-col-master-catalog/default/dw9ecf5cb7/images/col/707/7072339-hero.jpg?sw=280&sh=280,emb. 30 un,https://www.continente.pt/produto/fraldas-protecao-17-28kg-t6-continente-do-bebe-7072339.html,bebe,2024-11-11,Continente
