Product Name,Product ID,Price per kg,Price per unit,Brand,Category,Image URL,Minimum Quantity,Product Link,cgid,tracking_date,source
Champô Elvive Hidra Hialurónico,7526096,4.39,"€17,56/lt",LOréal Paris,Beleza e Higiene/Cabelo/Champôs,https://www.continente.pt/dw/image/v2/BDVS_PRD/on/demandware.static/-/Sites-col-master-catalog/default/dwd4895858/images/col/752/7526096-hero.jpg?sw=280&sh=280,emb. 250 ml,https://www.continente.pt/produto/champo-elvive-hidra-hialuronico-loreal-paris-7526096.html,higiene-beleza,2024-11-15,Continente
Champô sem Sal Liso e Brilhante,7847226,5.25,"€5,25/un",Happy Anne,Beleza e Higiene/Cabelo/Champôs,https://www.continente.pt/dw/image/v2/BDVS_PRD/on/demandware.static/-/Sites-col-master-catalog/default/dw478bbb10/images/col/784/7847226-frente.jpg?sw=280&sh=280,emb. 340 ml,https://www.continente.pt/produto/champo-sem-sal-liso-e-brilhante-happy-anne-7847226.html,higiene-beleza,2024-11-15,Continente
Condicionador Hidratante Morte Súbita,7677291,10.44,"€10,44/un",Lola,Beleza e Higiene/Cabelo/Condicionadores,https://www.continente.pt/dw/image/v2/BDVS_PRD/on/demandware.static/-/Sites-col-master-catalog/default/dw624d9ee4/images/col/767/7677291-frente.jpg?sw=280&sh=280,emb. 250 gr,https://www.continente.pt/produto/condicionador-hidratante-morte-subita-lola-7677291.html,higiene-beleza,2024-11-15,Continente
Óleo Cabelo Pro-V Argão,7268481,9.0,"€90,00/lt",Pantene,Beleza e Higiene/Cabelo/Máscaras e Tratamentos,https://www.continente.pt/dw/image/v2/BDVS_PRD/on/demandware.static/-/Sites-col-master-catalog/default/dwdbc3d32e/images/col/726/7268481-hero.jpg?sw=280&sh=280,emb. 100 ml,https://www.continente.pt/produto/oleo-cabelo-pro-v-argao-pantene-7268481.html,higiene-beleza,2024-11-15,Continente
Mousse Íntima de Limpeza,7731747,7.99,"€19,98/lt",Lindor,Beleza e Higiene/Higiene Íntima/Gel e Sabonetes Íntimos,https://www.continente.pt/dw/image/v2/BDVS_PRD/on/demandware.static/-/Sites-col-master-catalog/default/dw544de41a/images/col/773/7731747-frente.jpg?sw=280&sh=280,emb. 400 ml,https://www.continente.pt/produto/mousse-intima-de-limpeza-lindor-7731747.html,higiene-beleza,2024-11-15,Continente
Creme de Olhos Revitalift,2214075,10.49,"€699,33/lt",LOréal Paris,Beleza e Higiene/Rosto/Antirrugas e Refirmantes,https://www.continente.pt/dw/image/v2/BDVS_PRD/on/demandware.static/-/Sites-col-master-catalog/default/dwe3e9e46a/images/col/221/2214075-frente.jpg?sw=280&sh=280,emb. 15 ml,https://www.continente.pt/produto/creme-de-olhos-revitalift-loreal-paris-2214075.html,higiene-beleza,2024-11-15,Continente
Champô Hydrate & Purify,7536720,11.98,"€9,98/lt",Tresemmé,Beleza e Higiene/Cabelo/Champôs,https://www.continente.pt/dw/image/v2/BDVS_PRD/on/demandware.static/-/Sites-col-master-catalog/default/dw014863bd/images/col/753/7536720-hero.png?sw=280&sh=280,emb. 3 x 400 ml,https://www.continente.pt/produto/champo-hydrate-purify-tresemme-7536720.html,higiene-beleza,2024-11-15,Continente
Champô Hydrate & Revive Óleo de Argão de Marrocos,6841773,7.19,"€18,68/lt",OGX,Beleza e Higiene/Cabelo/Champôs,https://www.continente.pt/dw/image/v2/BDVS_PRD/on/demandware.static/-/Sites-col-master-catalog/default/dwa19a29d0/images/col/684/6841773-frente.jpg?sw=280&sh=280,emb. 385 ml,https://www.continente.pt/produto/champo-hydrate-revive-oleo-de-argao-de-marrocos-ogx-6841773.html,higiene-beleza,2024-11-15,Continente
Máscara Cabelo Hidrata Coco,8154011,7.99,"€15,98/lt",Herbal Essences,Beleza e Higiene/Cabelo/Máscaras e Tratamentos,https://www.continente.pt/dw/image/v2/BDVS_PRD/on/demandware.static/-/Sites-col-master-catalog/default/dwef2ebbae/images/col/815/8154011-frente.png?sw=280&sh=280,emb. 500 ml,https://www.continente.pt/produto/mascara-cabelo-hidrata-coco-herbal-essences-8154011.html,higiene-beleza,2024-11-15,Continente
Creme de Pés Hidratação Profunda,7801617,5.99,"€59,90/lt",Soft&Co,Beleza e Higiene/Corpo/Cuidados de Mãos e Pés,https://www.continente.pt/dw/image/v2/BDVS_PRD/on/demandware.static/-/Sites-col-master-catalog/default/dwf5162766/images/col/780/7801617-frente.jpg?sw=280&sh=280,emb. 100 ml,https://www.continente.pt/produto/creme-de-pes-hidratacao-profunda-soft-co-7801617.html,higiene-beleza,2024-11-15,Continente
