product_id,product_name,product_price,product_category,product_category2,product_category3,product_image,product_urls,product_ratings,product_labels,product_promotions,quantity_selector
3553784,barras de cereais auchan sem glúten chocolate 6un 138g,2.19,Alimentação,Mercearia,Cereais e Barras, ,"{""productUrl"":""/pt/alimentacao/mercearia/cereais-e-barras/barras-cereais/barras-de-cereais-auchan-sem-gluten-chocolate-6un-138g/3553784.html"",""quickViewUrl"":""/on/demandware.store/Sites-AuchanPT-Site/pt_PT/Product-ShowQuickView?pid=3553784"",""addToCartUrl"":""/on/demandware.store/Sites-AuchanPT-Site/pt_PT/Cart-AddProduct"",""updateQuantityUrl"":""/on/demandware.store/Sites-AuchanPT-Site/pt_PT/Cart-UpdateQuantity"",""removeFromCartUrl"":""/on/demandware.store/Sites-AuchanPT-Site/pt_PT/Cart-RemoveProductLineItem"",""quantitySelector"":""/on/demandware.store/Sites-AuchanPT-Site/pt_PT/Product-QuantitySelector"",""absoluteProductUrl"":""https://www.auchan.pt/pt/alimentacao/mercearia/cereais-e-barras/barras-cereais/barras-de-cereais-auchan-sem-gluten-chocolate-6un-138g/3553784.html"",""encodedProductUrl"":""https%3A%2F%2Fwww.auchan.pt%2Fpt%2Falimentacao%2Fmercearia%2Fcereais-e-barras%2Fbarras-cereais%2Fbarras-de-cereais-auchan-sem-gluten-chocolate-6un-138g%2F3553784.html"",""oneySimulatorUrl"":""/on/demandware.store/Sites-AuchanPT-Site/pt_PT/Oney-GetSimulator?pid=3553784""}",3553784,[],,"<div class=""auc-qty-selector"">
<button class=""auc-button__circle auc-js-add-to-cart auc-qty-placeholder-item"" type=""button"">
<svg class=""null auc-icon--shopping-cart-add-white"">
<use xlink:href=""/on/demandware.static/Sites-AuchanPT-Site/-/default/dw252a2411/images/icons/svg/menu/spritemap.svg#icon-shopping-cart-add-white""></use>
</svg>
</button>
</div>"
3657673,carne seca kings vegan 25g,1.99,Biológicos e Alternativas,Vegan,Alimentação Vegan, ,"{""productUrl"":""/pt/biologicos-e-alternativas/vegan/alimentacao-vegan/refeicoes-e-proteina/carne-seca-kings-vegan-25g/3657673.html"",""quickViewUrl"":""/on/demandware.store/Sites-AuchanPT-Site/pt_PT/Product-ShowQuickView?pid=3657673"",""addToCartUrl"":""/on/demandware.store/Sites-AuchanPT-Site/pt_PT/Cart-AddProduct"",""updateQuantityUrl"":""/on/demandware.store/Sites-AuchanPT-Site/pt_PT/Cart-UpdateQuantity"",""removeFromCartUrl"":""/on/demandware.store/Sites-AuchanPT-Site/pt_PT/Cart-RemoveProductLineItem"",""quantitySelector"":""/on/demandware.store/Sites-AuchanPT-Site/pt_PT/Product-QuantitySelector"",""absoluteProductUrl"":""https://www.auchan.pt/pt/biologicos-e-alternativas/vegan/alimentacao-vegan/refeicoes-e-proteina/carne-seca-kings-vegan-25g/3657673.html"",""encodedProductUrl"":""https%3A%2F%2Fwww.auchan.pt%2Fpt%2Fbiologicos-e-alternativas%2Fvegan%2Falimentacao-vegan%2Frefeicoes-e-proteina%2Fcarne-seca-kings-vegan-25g%2F3657673.html"",""oneySimulatorUrl"":""/on/demandware.store/Sites-AuchanPT-Site/pt_PT/Oney-GetSimulator?pid=3657673""}",3657673,[],,"<div class=""auc-qty-selector"">
<button class=""auc-button__circle auc-js-add-to-cart auc-qty-placeholder-item"" type=""button"">
<svg class=""null auc-icon--shopping-cart-add-white"">
<use xlink:href=""/on/demandware.static/Sites-AuchanPT-Site/-/default/dw252a2411/images/icons/svg/menu/spritemap.svg#icon-shopping-cart-add-white""></use>
</svg>
</button>
</div>"
3792445,creme barrar naturefoods manteiga caju bio 170 g,5.99,Alimentação,Mercearia,"Cremes, Compotas e Mel", ,"{""productUrl"":""/pt/alimentacao/mercearia/cremes-compotas-e-mel/cremes-de-barrar/creme-barrar-naturefoods-manteiga-caju-bio-170-g/3792445.html"",""quickViewUrl"":""/on/demandware.store/Sites-AuchanPT-Site/pt_PT/Product-ShowQuickView?pid=3792445"",""addToCartUrl"":""/on/demandware.store/Sites-AuchanPT-Site/pt_PT/Cart-AddProduct"",""updateQuantityUrl"":""/on/demandware.store/Sites-AuchanPT-Site/pt_PT/Cart-UpdateQuantity"",""removeFromCartUrl"":""/on/demandware.store/Sites-AuchanPT-Site/pt_PT/Cart-RemoveProductLineItem"",""quantitySelector"":""/on/demandware.store/Sites-AuchanPT-Site/pt_PT/Product-QuantitySelector"",""absoluteProductUrl"":""https://www.auchan.pt/pt/alimentacao/mercearia/cremes-compotas-e-mel/cremes-de-barrar/creme-barrar-naturefoods-manteiga-caju-bio-170-g/3792445.html"",""encodedProductUrl"":""https%3A%2F%2Fwww.auchan.pt%2Fpt%2Falimentacao%2Fmercearia%2Fcremes-compotas-e-mel%2Fcremes-de-barrar%2Fcreme-barrar-naturefoods-manteiga-caju-bio-170-g%2F3792445.html"",""oneySimulatorUrl"":""/on/demandware.store/Sites-AuchanPT-Site/pt_PT/Oney-GetSimulator?pid=3792445""}",3792445,"[{'alt': 'Biológico', 'title': 'Biológico'}]",,"<div class=""auc-qty-selector"">
<button class=""auc-button__circle auc-js-add-to-cart auc-qty-placeholder-item"" type=""button"">
<svg class=""null auc-icon--shopping-cart-add-white"">
<use xlink:href=""/on/demandware.static/Sites-AuchanPT-Site/-/default/dw252a2411/images/icons/svg/menu/spritemap.svg#icon-shopping-cart-add-white""></use>
</svg>
</button>
</div>"
3438350,água micelar cosmia bio hidratante calendula 500ml,3.69,Saúde e Bem Estar,Dermocosmética,Cuidados de Corpo e Rosto, ,"{""productUrl"":""/pt/saude-e-bem-estar/dermocosmetica/cuidados-de-corpo-e-rosto/agua-micelar-cosmia-bio-hidratante-calendula-500ml/3438350.html"",""quickViewUrl"":""/on/demandware.store/Sites-AuchanPT-Site/pt_PT/Product-ShowQuickView?pid=3438350"",""addToCartUrl"":""/on/demandware.store/Sites-AuchanPT-Site/pt_PT/Cart-AddProduct"",""updateQuantityUrl"":""/on/demandware.store/Sites-AuchanPT-Site/pt_PT/Cart-UpdateQuantity"",""removeFromCartUrl"":""/on/demandware.store/Sites-AuchanPT-Site/pt_PT/Cart-RemoveProductLineItem"",""quantitySelector"":""/on/demandware.store/Sites-AuchanPT-Site/pt_PT/Product-QuantitySelector"",""absoluteProductUrl"":""https://www.auchan.pt/pt/saude-e-bem-estar/dermocosmetica/cuidados-de-corpo-e-rosto/agua-micelar-cosmia-bio-hidratante-calendula-500ml/3438350.html"",""encodedProductUrl"":""https%3A%2F%2Fwww.auchan.pt%2Fpt%2Fsaude-e-bem-estar%2Fdermocosmetica%2Fcuidados-de-corpo-e-rosto%2Fagua-micelar-cosmia-bio-hidratante-calendula-500ml%2F3438350.html"",""oneySimulatorUrl"":""/on/demandware.store/Sites-AuchanPT-Site/pt_PT/Oney-GetSimulator?pid=3438350""}",3438350,[],,"<div class=""auc-qty-selector"">
<button class=""auc-button__circle auc-js-add-to-cart auc-qty-placeholder-item"" type=""button"">
<svg class=""null auc-icon--shopping-cart-add-white"">
<use xlink:href=""/on/demandware.static/Sites-AuchanPT-Site/-/default/dw252a2411/images/icons/svg/menu/spritemap.svg#icon-shopping-cart-add-white""></use>
</svg>
</button>
</div>"
3755121,boiao nutriben legumes com frango 120 g,1.39,O Mundo do Bebé,Preparação e Alimentação Infantil,Boiões Refeição Bebé, ,"{""productUrl"":""/pt/o-mundo-do-bebe/preparacao-e-alimentacao-infantil/boioes-refeicao-bebe/boiao-nutriben-legumes-com-frango-120-g/3755121.html"",""quickViewUrl"":""/on/demandware.store/Sites-AuchanPT-Site/pt_PT/Product-ShowQuickView?pid=3755121"",""addToCartUrl"":""/on/demandware.store/Sites-AuchanPT-Site/pt_PT/Cart-AddProduct"",""updateQuantityUrl"":""/on/demandware.store/Sites-AuchanPT-Site/pt_PT/Cart-UpdateQuantity"",""removeFromCartUrl"":""/on/demandware.store/Sites-AuchanPT-Site/pt_PT/Cart-RemoveProductLineItem"",""quantitySelector"":""/on/demandware.store/Sites-AuchanPT-Site/pt_PT/Product-QuantitySelector"",""absoluteProductUrl"":""https://www.auchan.pt/pt/o-mundo-do-bebe/preparacao-e-alimentacao-infantil/boioes-refeicao-bebe/boiao-nutriben-legumes-com-frango-120-g/3755121.html"",""encodedProductUrl"":""https%3A%2F%2Fwww.auchan.pt%2Fpt%2Fo-mundo-do-bebe%2Fpreparacao-e-alimentacao-infantil%2Fboioes-refeicao-bebe%2Fboiao-nutriben-legumes-com-frango-120-g%2F3755121.html"",""oneySimulatorUrl"":""/on/demandware.store/Sites-AuchanPT-Site/pt_PT/Oney-GetSimulator?pid=3755121""}",3755121,[],,"<div class=""auc-qty-selector"">
<button class=""auc-button__circle auc-js-add-to-cart auc-qty-placeholder-item"" type=""button"">
<svg class=""null auc-icon--shopping-cart-add-white"">
<use xlink:href=""/on/demandware.static/Sites-AuchanPT-Site/-/default/dw252a2411/images/icons/svg/menu/spritemap.svg#icon-shopping-cart-add-white""></use>
</svg>
</button>
</div>"
2739297,puré seara pera sem açúcar bio 100g,1.09,Biológicos e Alternativas,Biológicos,Biológicos Lácteos, ,"{""productUrl"":""/pt/biologicos-e-alternativas/biologicos/biologicos-lacteos/sobremesas/pure-seara-pera-sem-acucar-bio-100g/2739297.html"",""quickViewUrl"":""/on/demandware.store/Sites-AuchanPT-Site/pt_PT/Product-ShowQuickView?pid=2739297"",""addToCartUrl"":""/on/demandware.store/Sites-AuchanPT-Site/pt_PT/Cart-AddProduct"",""updateQuantityUrl"":""/on/demandware.store/Sites-AuchanPT-Site/pt_PT/Cart-UpdateQuantity"",""removeFromCartUrl"":""/on/demandware.store/Sites-AuchanPT-Site/pt_PT/Cart-RemoveProductLineItem"",""quantitySelector"":""/on/demandware.store/Sites-AuchanPT-Site/pt_PT/Product-QuantitySelector"",""absoluteProductUrl"":""https://www.auchan.pt/pt/biologicos-e-alternativas/biologicos/biologicos-lacteos/sobremesas/pure-seara-pera-sem-acucar-bio-100g/2739297.html"",""encodedProductUrl"":""https%3A%2F%2Fwww.auchan.pt%2Fpt%2Fbiologicos-e-alternativas%2Fbiologicos%2Fbiologicos-lacteos%2Fsobremesas%2Fpure-seara-pera-sem-acucar-bio-100g%2F2739297.html"",""oneySimulatorUrl"":""/on/demandware.store/Sites-AuchanPT-Site/pt_PT/Oney-GetSimulator?pid=2739297""}",2739297,"[{'alt': 'Biológico', 'title': 'Biológico'}]",,"<div class=""auc-qty-selector"">
<button class=""auc-button__circle auc-js-add-to-cart auc-qty-placeholder-item"" type=""button"">
<svg class=""null auc-icon--shopping-cart-add-white"">
<use xlink:href=""/on/demandware.static/Sites-AuchanPT-Site/-/default/dw252a2411/images/icons/svg/menu/spritemap.svg#icon-shopping-cart-add-white""></use>
</svg>
</button>
</div>"
2184150,salsichão veg in vegan 200g,4.99,Biológicos e Alternativas,Alimentação Vegetariana,, ,"{""productUrl"":""/pt/biologicos-e-alternativas/alimentacao-vegetariana/salsichao-veg-in-vegan-200g/2184150.html"",""quickViewUrl"":""/on/demandware.store/Sites-AuchanPT-Site/pt_PT/Product-ShowQuickView?pid=2184150"",""addToCartUrl"":""/on/demandware.store/Sites-AuchanPT-Site/pt_PT/Cart-AddProduct"",""updateQuantityUrl"":""/on/demandware.store/Sites-AuchanPT-Site/pt_PT/Cart-UpdateQuantity"",""removeFromCartUrl"":""/on/demandware.store/Sites-AuchanPT-Site/pt_PT/Cart-RemoveProductLineItem"",""quantitySelector"":""/on/demandware.store/Sites-AuchanPT-Site/pt_PT/Product-QuantitySelector"",""absoluteProductUrl"":""https://www.auchan.pt/pt/biologicos-e-alternativas/alimentacao-vegetariana/salsichao-veg-in-vegan-200g/2184150.html"",""encodedProductUrl"":""https%3A%2F%2Fwww.auchan.pt%2Fpt%2Fbiologicos-e-alternativas%2Falimentacao-vegetariana%2Fsalsichao-veg-in-vegan-200g%2F2184150.html"",""oneySimulatorUrl"":""/on/demandware.store/Sites-AuchanPT-Site/pt_PT/Oney-GetSimulator?pid=2184150""}",2184150,"[{'alt': 'Vegan', 'title': 'Vegan'}]",,"<div class=""auc-qty-selector"">
<button class=""auc-button__circle auc-js-add-to-cart auc-qty-placeholder-item"" type=""button"">
<svg class=""null auc-icon--shopping-cart-add-white"">
<use xlink:href=""/on/demandware.static/Sites-AuchanPT-Site/-/default/dw252a2411/images/icons/svg/menu/spritemap.svg#icon-shopping-cart-add-white""></use>
</svg>
</button>
</div>"
2707968,iogurte auchan líquido natural sem lactose açúcarado 4x170g,1.49,Alimentação,Produtos Lácteos,Sem Lactose, ,"{""productUrl"":""/pt/alimentacao/produtos-lacteos/sem-lactose/iogurte-sem-lactose/iogurte-auchan-liquido-natural-sem-lactose-acucarado-4x170g/2707968.html"",""quickViewUrl"":""/on/demandware.store/Sites-AuchanPT-Site/pt_PT/Product-ShowQuickView?pid=2707968"",""addToCartUrl"":""/on/demandware.store/Sites-AuchanPT-Site/pt_PT/Cart-AddProduct"",""updateQuantityUrl"":""/on/demandware.store/Sites-AuchanPT-Site/pt_PT/Cart-UpdateQuantity"",""removeFromCartUrl"":""/on/demandware.store/Sites-AuchanPT-Site/pt_PT/Cart-RemoveProductLineItem"",""quantitySelector"":""/on/demandware.store/Sites-AuchanPT-Site/pt_PT/Product-QuantitySelector"",""absoluteProductUrl"":""https://www.auchan.pt/pt/alimentacao/produtos-lacteos/sem-lactose/iogurte-sem-lactose/iogurte-auchan-liquido-natural-sem-lactose-acucarado-4x170g/2707968.html"",""encodedProductUrl"":""https%3A%2F%2Fwww.auchan.pt%2Fpt%2Falimentacao%2Fprodutos-lacteos%2Fsem-lactose%2Fiogurte-sem-lactose%2Fiogurte-auchan-liquido-natural-sem-lactose-acucarado-4x170g%2F2707968.html"",""oneySimulatorUrl"":""/on/demandware.store/Sites-AuchanPT-Site/pt_PT/Oney-GetSimulator?pid=2707968""}",2707968,"[{'alt': 'Produto Nacional', 'title': 'Produto Nacional'}]",,"<div class=""auc-qty-selector"">
<button class=""auc-button__circle auc-js-add-to-cart auc-qty-placeholder-item"" type=""button"">
<svg class=""null auc-icon--shopping-cart-add-white"">
<use xlink:href=""/on/demandware.static/Sites-AuchanPT-Site/-/default/dw252a2411/images/icons/svg/menu/spritemap.svg#icon-shopping-cart-add-white""></use>
</svg>
</button>
</div>"
2348460,barra prozis energy crunch banana 20g,0.69,Biológicos e Alternativas,Nutrição Desportiva,Snacks e Barritas Energéticas, ,"{""productUrl"":""/pt/biologicos-e-alternativas/nutricao-desportiva/snacks-e-barritas-energeticas/barra-prozis-energy-crunch-banana-20g/2348460.html"",""quickViewUrl"":""/on/demandware.store/Sites-AuchanPT-Site/pt_PT/Product-ShowQuickView?pid=2348460"",""addToCartUrl"":""/on/demandware.store/Sites-AuchanPT-Site/pt_PT/Cart-AddProduct"",""updateQuantityUrl"":""/on/demandware.store/Sites-AuchanPT-Site/pt_PT/Cart-UpdateQuantity"",""removeFromCartUrl"":""/on/demandware.store/Sites-AuchanPT-Site/pt_PT/Cart-RemoveProductLineItem"",""quantitySelector"":""/on/demandware.store/Sites-AuchanPT-Site/pt_PT/Product-QuantitySelector"",""absoluteProductUrl"":""https://www.auchan.pt/pt/biologicos-e-alternativas/nutricao-desportiva/snacks-e-barritas-energeticas/barra-prozis-energy-crunch-banana-20g/2348460.html"",""encodedProductUrl"":""https%3A%2F%2Fwww.auchan.pt%2Fpt%2Fbiologicos-e-alternativas%2Fnutricao-desportiva%2Fsnacks-e-barritas-energeticas%2Fbarra-prozis-energy-crunch-banana-20g%2F2348460.html"",""oneySimulatorUrl"":""/on/demandware.store/Sites-AuchanPT-Site/pt_PT/Oney-GetSimulator?pid=2348460""}",2348460,[],,"<div class=""auc-qty-selector"">
<button class=""auc-button__circle auc-js-add-to-cart auc-qty-placeholder-item"" type=""button"">
<svg class=""null auc-icon--shopping-cart-add-white"">
<use xlink:href=""/on/demandware.static/Sites-AuchanPT-Site/-/default/dw252a2411/images/icons/svg/menu/spritemap.svg#icon-shopping-cart-add-white""></use>
</svg>
</button>
</div>"
3299478,hambúrguer grão beatroot quinoa vermelha bio 200 g,4.49,Biológicos e Alternativas,Biológicos,Biológicos Congelados, ,"{""productUrl"":""/pt/biologicos-e-alternativas/biologicos/biologicos-congelados/refeicoes/hamburguer-grao-beatroot-quinoa-vermelha-bio-200-g/3299478.html"",""quickViewUrl"":""/on/demandware.store/Sites-AuchanPT-Site/pt_PT/Product-ShowQuickView?pid=3299478"",""addToCartUrl"":""/on/demandware.store/Sites-AuchanPT-Site/pt_PT/Cart-AddProduct"",""updateQuantityUrl"":""/on/demandware.store/Sites-AuchanPT-Site/pt_PT/Cart-UpdateQuantity"",""removeFromCartUrl"":""/on/demandware.store/Sites-AuchanPT-Site/pt_PT/Cart-RemoveProductLineItem"",""quantitySelector"":""/on/demandware.store/Sites-AuchanPT-Site/pt_PT/Product-QuantitySelector"",""absoluteProductUrl"":""https://www.auchan.pt/pt/biologicos-e-alternativas/biologicos/biologicos-congelados/refeicoes/hamburguer-grao-beatroot-quinoa-vermelha-bio-200-g/3299478.html"",""encodedProductUrl"":""https%3A%2F%2Fwww.auchan.pt%2Fpt%2Fbiologicos-e-alternativas%2Fbiologicos%2Fbiologicos-congelados%2Frefeicoes%2Fhamburguer-grao-beatroot-quinoa-vermelha-bio-200-g%2F3299478.html"",""oneySimulatorUrl"":""/on/demandware.store/Sites-AuchanPT-Site/pt_PT/Oney-GetSimulator?pid=3299478""}",3299478,"[{'alt': 'Produto Nacional', 'title': 'Produto Nacional'}, {'alt': 'Biológico', 'title': 'Biológico'}, {'alt': 'Vegan', 'title': 'Vegan'}]",,"<div class=""auc-qty-selector"">
<button class=""auc-button__circle auc-js-add-to-cart auc-qty-placeholder-item"" type=""button"">
<svg class=""null auc-icon--shopping-cart-add-white"">
<use xlink:href=""/on/demandware.static/Sites-AuchanPT-Site/-/default/dw252a2411/images/icons/svg/menu/spritemap.svg#icon-shopping-cart-add-white""></use>
</svg>
</button>
</div>"
