Product Name,Product ID,Price per kg,Price per unit,Brand,Category,Image URL,Minimum Quantity,Product Link,cgid,tracking_date,source
Bloco Sanitário Deluxe Magnólia,8188556,6.78,"€3,39/un",Bref Sonasol,Limpeza/Limpeza Casa de Banho/Blocos Sanitários,https://www.continente.pt/dw/image/v2/BDVS_PRD/on/demandware.static/-/Sites-col-master-catalog/default/dwf85e8b70/images/col/818/8188556-frente.png?sw=280&sh=280,emb. 2 un,https://www.continente.pt/produto/bloco-sanitario-deluxe-magnolia-bref-sonasol-8188556.html,limpeza,2024-11-14,Continente
Detergente Máquina Roupa Líquido Power+ Lavanda,7719869,4.79,"€0,12/dos",Continente,Limpeza/Limpeza da Roupa e Calçado/Detergente Máquina,https://www.continente.pt/dw/image/v2/BDVS_PRD/on/demandware.static/-/Sites-col-master-catalog/default/dwd9473de6/images/col/771/7719869-frente.jpg?sw=280&sh=280,40 doses,https://www.continente.pt/produto/detergente-maquina-roupa-liquido-power-lavanda-continente-7719869.html,limpeza,2024-11-14,Continente
Detergente Máquina Roupa Pó Universal,8088997,14.99,"€0,16/dos",Xtra,Limpeza/Limpeza da Roupa e Calçado/Detergente Máquina,https://www.continente.pt/dw/image/v2/BDVS_PRD/on/demandware.static/-/Sites-col-master-catalog/default/dw0502014f/images/col/808/8088997-frente.jpg?sw=280&sh=280,92 doses,https://www.continente.pt/produto/detergente-maquina-roupa-po-universal-xtra-8088997.html,limpeza,2024-11-14,Continente
Creme com Esponja Autobrilhante Castanho,6738725,1.19,"€29,75/lt",Continente,Limpeza/Limpeza da Roupa e Calçado/Limpeza do Calçado/Autobrilhantador,https://www.continente.pt/dw/image/v2/BDVS_PRD/on/demandware.static/-/Sites-col-master-catalog/default/dw5c7fd488/images/col/673/6738725-frente.jpg?sw=280&sh=280,emb. 40 ml,https://www.continente.pt/produto/creme-com-esponja-autobrilhante-castanho-continente-6738725.html,limpeza,2024-11-14,Continente
Removedor de Bolores e Fungos,7371086,3.49,"€3,49/un",Boost,"Casa, Bricolage e Jardim/Marcas/Boost/Limpeza da Casa e do Carro",https://www.continente.pt/dw/image/v2/BDVS_PRD/on/demandware.static/-/Sites-col-master-catalog/default/dwc58aaae1/images/col/737/7371086-frente.jpg?sw=280&sh=280,emb. 500 ml,https://www.continente.pt/produto/removedor-de-bolores-e-fungos-boost-7371086.html,limpeza,2024-11-14,Continente
Espanador com 5 Recargas Jack Junior,7484795,3.59,"€0,72/un",Swiffer,"Limpeza/Mopas, Esfregonas e Vassouras/Mopas e Espanadores",https://www.continente.pt/dw/image/v2/BDVS_PRD/on/demandware.static/-/Sites-col-master-catalog/default/dw4977e533/images/col/748/7484795-hero.jpg?sw=280&sh=280,emb. 1 un,https://www.continente.pt/produto/espanador-com-5-recargas-jack-junior-swiffer-7484795.html,limpeza,2024-11-14,Continente
Descalcificador Máquina Roupa Pastilhas 4 em 1,2401267,6.99,"€0,47/un",Calgon,Limpeza/Limpeza da Roupa e Calçado/Tratamento Máquina Roupa,https://www.continente.pt/dw/image/v2/BDVS_PRD/on/demandware.static/-/Sites-col-master-catalog/default/dw1c031953/images/col/240/2401267-frente.jpg?sw=280&sh=280,emb. 15 un,https://www.continente.pt/produto/descalcificador-maquina-roupa-pastilhas-4-em-1-calgon-2401267.html,limpeza,2024-11-14,Continente
Ambientador Recarga Difusor Sandalwood,7990488,5.19,"€2,60/un",Glade,Limpeza/Ambientadores/Ambientadores Automáticos,https://www.continente.pt/dw/image/v2/BDVS_PRD/on/demandware.static/-/Sites-col-master-catalog/default/dw8b4999e0/images/col/799/7990488-frente.png?sw=280&sh=280,emb. 2 un,https://www.continente.pt/produto/ambientador-recarga-difusor-sandalwood-glade-7990488.html,limpeza,2024-11-14,Continente
Papel de Alumínio 8m,2210285,2.59,"€0,32/m",Silvex,Limpeza/Limpeza da Cozinha/Películas e Sacos de Conservação,https://www.continente.pt/dw/image/v2/BDVS_PRD/on/demandware.static/-/Sites-col-master-catalog/default/dw8e7e1099/images/col/221/2210285-frente.jpg?sw=280&sh=280,emb. 1 un,https://www.continente.pt/produto/papel-de-aluminio-8m-silvex-2210285.html,limpeza,2024-11-14,Continente
Detergente Máquina Roupa Cápsulas Active Clean,7847129,8.99,"€0,28/dos",Skip,Limpeza/Limpeza da Roupa e Calçado/Detergente Máquina,https://www.continente.pt/dw/image/v2/BDVS_PRD/on/demandware.static/-/Sites-col-master-catalog/default/dwec84693f/images/col/784/7847129-direito.jpg?sw=280&sh=280,32 doses,https://www.continente.pt/produto/detergente-maquina-roupa-capsulas-active-clean-skip-7847129.html,limpeza,2024-11-14,Continente
