Product Name,Product ID,Price per kg,Price per unit,Brand,Category,Image URL,Minimum Quantity,Product Link,cgid,tracking_date,source
Banana,2597619,1.19,"€0,24/un",Continente,"Frescos/Frutas/Banana, Maçã e Pera",https://www.continente.pt/dw/image/v2/BDVS_PRD/on/demandware.static/-/Sites-col-master-catalog/default/dwcd554331/images/col/259/2597619-frente.jpg?sw=280&sh=280,Quant. Mínima = 600 gr (3 un),https://www.continente.pt/produto/banana-continente-2597619.html,frescos,2024-11-16,Continente
Curgete Verde,2076759,1.99,"€1,00/un",Continente,"Frescos/Legumes/Curgete, Beringela e Feijão Verde",https://www.continente.pt/dw/image/v2/BDVS_PRD/on/demandware.static/-/Sites-col-master-catalog/default/dw501f0905/images/col/207/2076759-frente.jpg?sw=280&sh=280,Quant. Mínima = 500 gr (1 un),https://www.continente.pt/produto/curgete-verde-continente-2076759.html,frescos,2024-11-16,Continente
Ovos de Solo Classe L,7066777,2.59,"€2,59/doz",Continente,Frescos/Ovos,https://www.continente.pt/dw/image/v2/BDVS_PRD/on/demandware.static/-/Sites-col-master-catalog/default/dwbcb7d138/images/col/706/7066777-esquerdo.jpg?sw=280&sh=280,emb. 12 un,https://www.continente.pt/produto/ovos-de-solo-classe-l-continente-7066777.html,frescos,2024-11-16,Continente
Peito de Frango em Vácuo,6950358,6.49,"€14,28/un",Continente,Frescos/Talho/Frango e Peru,https://www.continente.pt/dw/image/v2/BDVS_PRD/on/demandware.static/-/Sites-col-master-catalog/default/dwd43d2a97/images/col/695/6950358-frente.jpg?sw=280&sh=280,"emb. 2,2 kg (aprox.)",https://www.continente.pt/produto/peito-de-frango-em-vacuo-continente-6950358.html,frescos,2024-11-16,Continente
Clementina,2165762,2.49,"€0,40/un",Continente,"Frescos/Frutas/Laranja, Clementina e Limão",https://www.continente.pt/dw/image/v2/BDVS_PRD/on/demandware.static/-/Sites-col-master-catalog/default/dwcc44ffc5/images/col/216/2165762-frente.jpg?sw=280&sh=280,Quant. Mínima = 480 gr (3 un),https://www.continente.pt/produto/clementina-continente-2165762.html,frescos,2024-11-16,Continente
Queijo Flamengo Fatiado,2888438,4.09,"€8,18/kg",Continente,Frescos/Queijos/Fatiado e Bolas,https://www.continente.pt/dw/image/v2/BDVS_PRD/on/demandware.static/-/Sites-col-master-catalog/default/dw5375a1e4/images/col/288/2888438-frente-embalagem-acessorio.jpg?sw=280&sh=280,emb. 500 gr,https://www.continente.pt/produto/queijo-flamengo-fatiado-continente-2888438.html,frescos,2024-11-16,Continente
Cenoura,2885107,1.09,"€1,09/kg",Continente,"Frescos/Legumes/Cenoura, Abóbora e Beterraba",https://www.continente.pt/dw/image/v2/BDVS_PRD/on/demandware.static/-/Sites-col-master-catalog/default/dwaa0ae3ae/images/col/288/2885107-frente.jpg?sw=280&sh=280,emb. 1 kg,https://www.continente.pt/produto/cenoura-continente-2885107.html,frescos,2024-11-16,Continente
Ovos Classe M,7630191,4.39,"€2,20/doz",Dona Gema,Frescos/Ovos,https://www.continente.pt/dw/image/v2/BDVS_PRD/on/demandware.static/-/Sites-col-master-catalog/default/dw7f8c347b/images/col/763/7630191-frente.jpg?sw=280&sh=280,emb. 24 un,https://www.continente.pt/produto/ovos-classe-m-dona-gema-7630191.html,frescos,2024-11-16,Continente
Uva Branca sem Grainha,2076622,5.99,"€5,99/un",Continente,Frescos/Frutas/Uvas e Tropicais,https://www.continente.pt/dw/image/v2/BDVS_PRD/on/demandware.static/-/Sites-col-master-catalog/default/dw16d008f5/images/col/207/2076622-frente.jpg?sw=280&sh=280,Quant. Mínima = 1 kg,https://www.continente.pt/produto/uva-branca-sem-grainha-continente-2076622.html,frescos,2024-11-16,Continente
Banana da Madeira,2076480,2.89,"€3,61/un",Continente,"Frescos/Frutas/Banana, Maçã e Pera",https://www.continente.pt/dw/image/v2/BDVS_PRD/on/demandware.static/-/Sites-col-master-catalog/default/dwd4c8df36/images/col/207/2076480-frente.jpg?sw=280&sh=280,"emb. 1,25 kg",https://www.continente.pt/produto/banana-da-madeira-continente-2076480.html,frescos,2024-11-16,Continente
Laranja,7221212,1.39,"€0,49/un",Continente,"Frescos/Frutas/Laranja, Clementina e Limão",https://www.continente.pt/dw/image/v2/BDVS_PRD/on/demandware.static/-/Sites-col-master-catalog/default/dw8acc462d/images/col/722/7221212-frente.jpg?sw=280&sh=280,"Quant. Mínima = 1,4 kg (4 un)",https://www.continente.pt/produto/laranja-continente-7221212.html,frescos,2024-11-16,Continente
