Product Name,Product ID,Price per kg,Price per unit,Brand,Category,Image URL,Minimum Quantity,Product Link,cgid,tracking_date,source
Tortellini de Queijo,6905482,2.49,"€9,96/kg",Knorr,Mercearia/Sopas e Refeições/Refeições,https://www.continente.pt/dw/image/v2/BDVS_PRD/on/demandware.static/-/Sites-col-master-catalog/default/dw665f4e58/images/col/690/6905482-hero.jpg?sw=280&sh=280,emb. 250 gr,https://www.continente.pt/produto/tortellini-de-queijo-knorr-6905482.html,mercearias,2024-11-11,Continente
Drageias Gorila Go Fresh Spearmint,5874366,1.09,"€54,50/un",Gorila,"Mercearia/Chocolate, Gomas e Rebuçados/Gomas, Pastilhas e Rebuçados",https://www.continente.pt/dw/image/v2/BDVS_PRD/on/demandware.static/-/Sites-col-master-catalog/default/dwed45f48e/images/col/587/5874366-frente.jpg?sw=280&sh=280,emb. 20 gr,https://www.continente.pt/produto/drageias-gorila-go-fresh-spearmint-gorila-5874366.html,mercearias,2024-11-11,Continente
Infusão Nº30 Erva Príncipe Saquetas,2877350,0.99,"€0,10/un",Raízes da Natureza,"Mercearia/Café, Chá e Chocolate Solúvel/Chás e Infusões",https://www.continente.pt/dw/image/v2/BDVS_PRD/on/demandware.static/-/Sites-col-master-catalog/default/dwa12cef40/images/col/287/2877350-direito.jpg?sw=280&sh=280,emb. 10 un,https://www.continente.pt/produto/infusao-n30-erva-principe-saquetas-raizes-da-natureza-2877350.html,mercearias,2024-11-11,Continente
Bolachas Crocantes Diet Nature,7033171,2.39,"€8,54/kg",Gullón,"Mercearia/Bolachas, Biscoitos e Tostas/Bolachas Fibra e Sem Açúcar",https://www.continente.pt/dw/image/v2/BDVS_PRD/on/demandware.static/-/Sites-col-master-catalog/default/dw803e8971/images/col/703/7033171-direito.jpg?sw=280&sh=280,emb. 280 gr,https://www.continente.pt/produto/bolachas-crocantes-diet-nature-gullon-7033171.html,mercearias,2024-11-11,Continente
Bolachas Extra Pepitas XL,6401652,2.99,"€16,25/kg",Chips Ahoy,"Mercearia/Bolachas, Biscoitos e Tostas/Bolachas de Chocolate",https://www.continente.pt/dw/image/v2/BDVS_PRD/on/demandware.static/-/Sites-col-master-catalog/default/dwe47fc19f/images/col/640/6401652-frente.jpg?sw=280&sh=280,emb. 184 gr,https://www.continente.pt/produto/bolachas-extra-pepitas-xl-chips-ahoy-6401652.html,mercearias,2024-11-11,Continente
Gelatina em Pó de Melancia,5491853,2.09,"€67,42/kg",Royal,Mercearia/Açúcar e Sobremesas/Gelatinas e Pudins,https://www.continente.pt/dw/image/v2/BDVS_PRD/on/demandware.static/-/Sites-col-master-catalog/default/dwcbd25063/images/col/549/5491853-frente.jpg?sw=280&sh=280,emb. 31 gr,https://www.continente.pt/produto/gelatina-em-po-de-melancia-royal-5491853.html,mercearias,2024-11-11,Continente
"Saqueta de Fruta Manga, Iogurte e Aveia +6M",7577561,0.99,"€9,90/kg",Hero Solo,"Mercearia/Alimentação Infantil/Boiões, Saquetas e Puré de Fruta",https://www.continente.pt/dw/image/v2/BDVS_PRD/on/demandware.static/-/Sites-col-master-catalog/default/dw4f9949f6/images/col/757/7577561-frente.jpg?sw=280&sh=280,emb. 100 gr,https://www.continente.pt/produto/saqueta-de-fruta-manga-iogurte-e-aveia-6m-hero-solo-7577561.html,mercearias,2024-11-11,Continente
Flor de Sal,5128583,1.99,"€11,37/kg",Vatel,"Mercearia/Molhos, Temperos e Sal/Sal",https://www.continente.pt/dw/image/v2/BDVS_PRD/on/demandware.static/-/Sites-col-master-catalog/default/dw70489238/images/col/512/5128583-frente.jpg?sw=280&sh=280,emb. 175 gr,https://www.continente.pt/produto/flor-de-sal-vatel-5128583.html,mercearias,2024-11-11,Continente
Cápsulas de Café Descafeinado Intenso Int 7,6377664,5.49,"€0,34/un",Nescafé Dolce Gusto,"Mercearia/Café, Chá e Chocolate Solúvel/Café em Cápsulas",https://www.continente.pt/dw/image/v2/BDVS_PRD/on/demandware.static/-/Sites-col-master-catalog/default/dwf6c5cf45/images/col/637/6377664-esquerdo.jpg?sw=280&sh=280,emb. 16 un,https://www.continente.pt/produto/capsulas-de-cafe-descafeinado-intenso-int-7-nescafe-dolce-gusto-6377664.html,mercearias,2024-11-11,Continente
Bolachas Digestivas,4778667,0.99,"€2,48/kg",Continente,"Mercearia/Bolachas, Biscoitos e Tostas/Bolachas Fibra e Sem Açúcar",https://www.continente.pt/dw/image/v2/BDVS_PRD/on/demandware.static/-/Sites-col-master-catalog/default/dw8bec71b9/images/col/477/4778667-hero.jpg?sw=280&sh=280,emb. 400 gr,https://www.continente.pt/produto/bolachas-digestivas-continente-4778667.html,mercearias,2024-11-11,Continente
Arroz Integral Pronto a Comer sem Glúten,3643622,1.35,"€5,40/kg",Cigala,Mercearia/Sopas e Refeições/Refeições,https://www.continente.pt/dw/image/v2/BDVS_PRD/on/demandware.static/-/Sites-col-master-catalog/default/dw49994a8d/images/col/364/3643622-cima.jpg?sw=280&sh=280,emb. 2 x 125 gr,https://www.continente.pt/produto/arroz-integral-pronto-a-comer-sem-gluten-cigala-3643622.html,mercearias,2024-11-11,Continente
Snack para Bebé Cenoura +10M,7473120,1.99,"€49,75/kg",Hero Solo,Mercearia/Alimentação Infantil/Snacks e Bolachinhas,https://www.continente.pt/dw/image/v2/BDVS_PRD/on/demandware.static/-/Sites-col-master-catalog/default/dw8caaae10/images/col/747/7473120-direito.jpg?sw=280&sh=280,emb. 40 gr,https://www.continente.pt/produto/snack-para-bebe-cenoura-10m-hero-solo-7473120.html,mercearias,2024-11-11,Continente
Atum Posta ao Natural,6610285,3.29,"€23,50/kg",Bom Petisco,Mercearia/Conservas/Atum,https://www.continente.pt/dw/image/v2/BDVS_PRD/on/demandware.static/-/Sites-col-master-catalog/default/dwa9602aba/images/col/661/6610285-cima.jpg?sw=280&sh=280,emb. 200 gr (peso escorrido 140 gr),https://www.continente.pt/produto/atum-posta-ao-natural-bom-petisco-6610285.html,mercearias,2024-11-11,Continente
Cereais Golden Grahams,6508562,3.99,"€10,64/kg",Golden Grahams,Mercearia/Cereais e Barras/Cereais Infantis e Juvenis,https://www.continente.pt/dw/image/v2/BDVS_PRD/on/demandware.static/-/Sites-col-master-catalog/default/dw241e566b/images/col/650/6508562-hero.jpg?sw=280&sh=280,emb. 375 gr,https://www.continente.pt/produto/cereais-golden-grahams-golden-grahams-6508562.html,mercearias,2024-11-11,Continente
Barras de Cereais Golden Grahams,7158909,2.39,"€15,93/kg",Golden Grahams,Mercearia/Cereais e Barras/Barras de Cereais,https://www.continente.pt/dw/image/v2/BDVS_PRD/on/demandware.static/-/Sites-col-master-catalog/default/dw8ae4091b/images/col/715/7158909-hero.jpg?sw=280&sh=280,emb. 150 gr (6 un),https://www.continente.pt/produto/barras-de-cereais-golden-grahams-golden-grahams-7158909.html,mercearias,2024-11-11,Continente
Legumes Primavera sem Glúten,2868688,3.84,"€9,14/kg",Bonduelle,"Mercearia/Conservas/Cogumelos, Milho, Ervilhas",https://www.continente.pt/dw/image/v2/BDVS_PRD/on/demandware.static/-/Sites-col-master-catalog/default/dw0848983a/images/col/286/2868688-cima.jpg?sw=280&sh=280,emb. 600 gr (peso escorrido 420 gr),https://www.continente.pt/produto/legumes-primavera-sem-gluten-bonduelle-2868688.html,mercearias,2024-11-11,Continente
Barras de Cereais Chocolate e Banana Fitness,6880642,2.09,"€14,82/kg",Fitness,Mercearia/Cereais e Barras/Barras de Cereais,https://www.continente.pt/dw/image/v2/BDVS_PRD/on/demandware.static/-/Sites-col-master-catalog/default/dwa95cd915/images/col/688/6880642-hero.jpg?sw=280&sh=280,emb. 141 gr (6 un),https://www.continente.pt/produto/barras-de-cereais-chocolate-e-banana-fitness-fitness-6880642.html,mercearias,2024-11-11,Continente
Maionese em Vidro sem Glúten,4302047,1.99,"€4,75/kg",Continente,"Mercearia/Molhos, Temperos e Sal/Maionese, Ketchup e Mostarda",https://www.continente.pt/dw/image/v2/BDVS_PRD/on/demandware.static/-/Sites-col-master-catalog/default/dw7a6c4da2/images/col/430/4302047-frente.jpg?sw=280&sh=280,emb. 419 gr,https://www.continente.pt/produto/maionese-em-vidro-sem-gluten-continente-4302047.html,mercearias,2024-11-11,Continente
Filetes de Cavala em Azeite Biológico,7728430,1.94,"€21,56/kg",Manná,"Mercearia/Conservas/Sardinha, Cavala, Lulas",https://www.continente.pt/dw/image/v2/BDVS_PRD/on/demandware.static/-/Sites-col-master-catalog/default/dw4341616e/images/col/772/7728430-esquerdo.jpg?sw=280&sh=280,emb. 120 gr (peso escorrido 90 gr),https://www.continente.pt/produto/filetes-de-cavala-em-azeite-biologico-manna-7728430.html,mercearias,2024-11-11,Continente
Snack Barrinhas Chocolate Leite Kinder Maxi,2643395,3.99,"€19,00/kg",Kinder,"Mercearia/Chocolate, Gomas e Rebuçados/Snacks de Chocolate",https://www.continente.pt/dw/image/v2/BDVS_PRD/on/demandware.static/-/Sites-col-master-catalog/default/dwe34d500e/col/264/2643395.jpg?sw=280&sh=280,10 un,https://www.continente.pt/produto/snack-barrinhas-chocolate-leite-kinder-maxi-kinder-2643395.html,mercearias,2024-11-11,Continente
